ResortName,Resort,RoomRate,DailyFood,SpaVisits,RoundOfGolf,HorseBackRiding,ParkAdmission
Mouse House,HOTEL1,165.89,45.50,78.00,45.00,12.00,35.00
The Princess Palace,HOTEL2,215.32,64.00,54.00,50.00,18.00,30.00
Minnie Mansion,HOTEL3,178.90,76.00,32.00,49.00,25.00,29.99
Sleeping Beauty's Reststop,HOTEL4,210.78,54.00,50.00,40.00,17.00,24.00
Chip and Dale's Nuthouse,HOTEL5,189.87,49.00,67.00,63.00,38.00,42.00
Cinderella's Castle Inn,HOTEL6,312.15,78.00,86.00,67.00,14.00,19.40
Dalmation Doghouse,HOTEL7,197.12,45.00,95.00,32.00,26.00,18.95
Peter Pan's Playhouse,HOTEL8,240.98,43.00,65.13,45.00,12.00,32.00
Bambi Bed & Breakfast,HOTEL9,312.10,29.98,32.87,24.00,15.00,26.00
Fantasia Funhouse,HOTEL10,187.98,36.00,21.54,43.00,24.00,29.65